team,seasons,golds,lat,lon
GAIS,54,4,57.7062333333,11.9807166667
IFK Göteborg,91,12,57.7062333333,11.9807166667
Örgryte IS,56,2,57.7062333333,11.9807166667
Helsingborgs IF,69,7,56.0494444444,12.7069444444
AIK,95,6,59.3666666667,18.0166666667
Landskrona BoIS,34,0,55.89,12.8375
IK Sleipner,16,1,58.5841666667,16.1730555556
IFK Norrköping,83,14,58.5841666667,16.1730555556
IFK Eskilstuna,14,0,59.3705555556,16.495
IFK Malmö FK,13,0,55.5930555556,13.0213888889
Västerås IK,1,0,59.6172222222,16.5422222222
Hammarby IF,55,1,59.2913888889,18.085277777800002
IFK Uddevalla,2,0,58.3522222222,11.9141666667
IK City,1,0,59.3705555556,16.495
IF Elfsborg,80,7,57.7344444444,12.9347222222
Westermalms IF FK,2,0,59.3333333333,18.0166666667
Djurgårdens IF,68,8,59.3294444444,18.0686111111
Stattena IF,2,0,56.0494444444,12.7069444444
Sandvikens IF,21,0,60.6125,16.7680555556
Redbergslid IK,1,0,57.7075,11.9675
Malmö FF,88,25,55.5836111111,12.9877777778
IS Halmia,11,0,56.6841666667,12.8663888889
Halmstads BK,56,4,56.6841666667,12.8663888889
Gefle IF FF,16,0,60.6919444444,17.135
Gårda BK,8,0,57.7075,11.9675
IK Brage,18,0,60.495,15.4341666667
Degerfors IF,32,0,59.2383333333,14.4430555556
Hallstahammar SK,2,0,59.6144444444,16.2311111111
Reymersholms IK,1,0,59.3155555556,18.05
Ludvika FFI,1,0,60.1202777778,15.1705555556
Jönköpings Södra IF,12,0,57.7833333333,14.1419444444
Örebro SK,53,0,59.2669444444,15.1963888889
Billingsfors IK,1,0,58.9838888889,12.2483333333
Kalmar FF,36,1,56.6908333333,16.3152777778
Råå IF,2,0,56.0,12.7388888889
Åtvidabergs FF,20,2,58.1947222222,15.9958333333
Sandvikens AIK FK,1,0,60.6075,16.7738888889
Västerås SK FK,4,0,59.6275277778,16.5306388889
Norrby IF,1,0,57.7344444444,12.9347222222
Motala AIF FK,1,0,58.5408333333,15.0552777778
Högadals IS,1,0,56.1747222222,14.8583333333
GIF Sundsvall,20,0,62.3955555556,17.2861111111
IFK Holmsund,1,0,63.7002777778,20.3525
Östers IF,33,4,56.88,14.7763888889
IK Sirius,10,0,59.85,17.6444444444
IFK Luleå,1,0,65.5991666667,22.1619444444
IF Saab,1,0,58.4094444444,15.6255555556
Brynäs IF FK,1,0,60.6747222222,17.1444444444
IFK Sundsvall,5,0,62.4091666667,17.3166666667
BK Derby,1,0,58.4094444444,15.6255555556
Mjällby AIF,12,0,56.0119444444,14.7163888889
BK Häcken,23,1,57.7183027778,11.9361111111
Trelleborgs FF,18,0,55.3852777778,13.1608333333
Västra Frölunda IF,10,0,57.6488888889,11.9216666667
Umeå FC,1,0,63.83,20.2852777778
IK Oddevold,1,0,58.3572222222,11.9491666667
Ljungskile SK,2,0,58.21,11.9052777778
Enköpings SK FK,1,0,59.6325,17.0677777778
Assyriska FF,1,0,59.1875,17.5705555556
IF Brommapojkarna,7,0,59.3622222222,17.8516666667
Syrianska FC,3,0,59.1875,17.5705555556
Falkenbergs FF,5,0,56.8936111111,12.5119444444
Östersunds FK,6,0,63.1947222222,14.6558333333
AFC Eskilstuna,2,0,59.3705555556,16.495
Dalkurd FF,1,0,59.85,17.6444444444
Varbergs BoIS,4,0,57.0969444444,12.2638888889
IFK Värnamo,2,0,57.1958333333,14.0427777778
